EVENT_ID,EVENT_Type,Event_Lat,Event_Long,Hurricane_Lat,Hurricane_Long,Hurricane_Name,TRACK_ID,Bearing,Distance,Date_Diff
5718395,Flash Flood,34.26183,-77.895484,28.56,-78.67,FLOYD,5012,7.735506383,154.8048412,900
5699945,Flood,42.034261,-94.869692,35.4,-61.6,ARLENE,4396,101.2773445,3696.285018,460800
5713637,Flood,36.431523,-81.498087,19.96,-94.62,BRET,4445,38.54231204,1445.313626,1500
5713187,Flash Flood,36.224929,-81.691119,20.4,-95.65,UNNAMED,4400,41.41492791,1537.852982,1980
5706554,Flood,39.063746,-93.79355,35.4,-61.6,ARLENE,4396,96.49254052,3578.995248,453600
5716769,Flash Flood,34.890221,-82.36931,45,-54.28,GERT,5194,250.2054081,3139.641537,487800
5719101,Flash Flood,36.361155,-85.668853,22.85,-71.66,DENNIS,4569,133.9639216,1574.930919,1800
5719102,Flash Flood,36.146435,-85.492677,22.85,-71.66,DENNIS,4569,133.8676222,1555.690937,1800
5718822,Flood,37.680329,-97.454044,45,-54.28,GERT,5194,260.3776452,4794.991304,328500
5713233,Flash Flood,35.535416,-87.489778,20.4,-97.3,UNNAMED,4409,32.94982862,1083.606269,102300
5713234,Flash Flood,36.502947,-87.379836,20.4,-97.3,UNNAMED,4409,31.63500028,1094.613049,116100
5717857,Flash Flood,40.334906,-75.113296,19.6,-94.6,BRET,4422,43.22250373,2141.192237,432000
5716386,Flash Flood,34.819957,-76.695276,33.72,-76.23,DENNIS,4700,157.0718947,59.12767977,0
5716387,Flash Flood,35.130967,-77.104016,33.72,-76.23,DENNIS,4700,148.2240758,103.6956829,0
5705821,Flash Flood,41.424181,-81.651878,20.4,-97.3,UNNAMED,4409,36.66000163,1710.746353,579600
5706315,Flash Flood,42.664734,-83.387191,34.91,-61.88,ARLENE,4393,109.8275143,2400.104961,433500
5713614,Flash Flood,36.934635,-80.355755,27.67,-98.9,BRET,4531,63.45345899,2055.245092,0
5718032,Flash Flood,42.588548,-74.439894,41.69,-72.54,FLOYD,5056,115.3116389,213.1523235,0
5718033,Flash Flood,42.588548,-74.439894,42.31,-71.87,FLOYD,5059,96.18607731,285.8996961,1440
5719018,Flash Flood,28.003468,-97.511343,26.96,-97.75,BRET,4516,12.88283021,30.68471787,0
5718034,Flash Flood,42.816167,-74.062336,40.93,-73.24,FLOYD,5053,156.4436358,108.8305641,1800
5718035,Flash Flood,41.766868,-73.742188,39.36,-74.39,FLOYD,5049,15.0642503,102.8792028,0
5718102,Flash Flood,39.584846,-75.940986,24.8,-74.4,DENNIS,4615,174.0496948,452.8002446,1800
5719024,Flash Flood,28.350898,-98.13011,27.19,-98.17,BRET,4522,1.967984933,18.82956355,0
5719638,Flash Flood,35.891869,-94.65478,43.53,-76.35,DENNIS,4947,247.3504321,2031.951764,2700
5706379,Flash Flood,32.60039,-86.150332,34.91,-61.88,ARLENE,4393,264.5639965,2699.139919,172800
5706380,Flash Flood,33.300761,-85.457891,35.24,-61.67,ARLENE,4395,265.3394336,2645.43639,86400
5718591,Flood,42.469371,-91.840838,27.54,-98.7,BRET,4529,24.67597991,771.4053522,2700
5713232,Flash Flood,35.80961,-87.47143,20.4,-97.3,UNNAMED,4409,32.53057842,1085.341452,88800
5706127,Flood,41.683682,-94.915298,20.52,-96.82,UNNAMED,4406,5.142685657,317.149844,0
5706130,Flood,42.034261,-94.869692,20.52,-96.82,UNNAMED,4406,5.17981172,322.5915116,0
5717902,Flash Flood,41.439019,-75.612551,40.22,-73.78,FLOYD,5051,123.6319826,206.8765115,0
5718025,Flash Flood,42.705538,-73.509044,40.22,-73.78,FLOYD,5051,6.221418712,83.44804157,1140
5718026,Flash Flood,41.88853,-74.261782,40.22,-73.78,FLOYD,5051,163.8941182,74.0121889,1140
5718028,Flash Flood,42.275254,-74.122549,39.81,-74.08,FLOYD,5050,179.0112029,75.23645023,0
5718029,Flash Flood,42.247017,-73.631576,39.81,-74.08,FLOYD,5050,10.42610124,90.34300362,0
5718030,Flash Flood,41.88853,-74.261782,41.46,-72.77,FLOYD,5055,106.0272663,166.4278499,1140
5718031,Flash Flood,41.766868,-73.742188,40.93,-73.24,FLOYD,5053,149.0328606,61.78403494,1800
5717905,Flash Flood,41.649611,-75.305532,40.22,-73.78,FLOYD,5051,133.1408888,174.8300325,0
5718454,Flash Flood,34.609494,-78.559862,30.84,-79.07,FLOYD,5023,7.707200886,99.10947508,1800
5718396,Flash Flood,34.527032,-77.915989,29.3,-78.9,FLOYD,5016,10.66139733,159.9343099,1800
5718902,Flash Flood,33.202826,-79.947138,45,-54.28,GERT,5194,245.3154612,2885.559854,491400
5706128,Flood,42.466359,-92.314066,20.52,-96.82,UNNAMED,4406,11.60248878,528.4657856,0
5706129,Flood,42.731633,-92.792835,20.52,-96.82,UNNAMED,4406,10.27659363,485.1932615,0
